,Molecule ChEMBL ID,Smiles
0,CHEMBL568312,[O-][n+]1onc2ccc(/C=C/[S+]([O-])c3ccccc3)cc21
1,CHEMBL3347276,C=CCNC(=S)N/N=C\c1ccccc1OCc1ccc2c(c1)=[N+]([O-])C(C)(C)[N+]=2[O-]
2,CHEMBL3347366,CC1(C)[N+]([O-])=c2ccc(COc3ccccc3/C=N\NC(=N)N)cc2=[N+]1[O-]
3,CHEMBL3347331,CC1(C)[N+]([O-])=c2ccc(COc3ccc(/C=N/NC(N)=O)cc3)cc2=[N+]1[O-]
4,CHEMBL3347321,CC1(C)[N+]([O-])=c2ccc(COc3ccc(/C=N/NC(=S)Nc4ccccc4)cc3)cc2=[N+]1[O-]
5,CHEMBL570547,Cc1cccc(C(=O)OCC(=O)Nc2cc(Cl)ccc2Cl)c1
6,CHEMBL550694,Nc1ncccc1C(=O)OCC(=O)NC1CCCCCC1
7,CHEMBL562106,CCC(NC(=O)COC(=O)c1cccnc1N)c1ccc(Br)cc1
8,CHEMBL455668,Cc1ccc(/C=N/Nc2nccc(C(F)(F)F)n2)cc1
9,CHEMBL462539,Cc1cc(C(F)(F)F)nc(N/N=C/c2ccc(Cl)cc2)n1
10,CHEMBL344174,N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
11,CHEMBL4215936,CCOC(=O)/C=C\CNC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
12,CHEMBL3629563,C/C(=N\N=C1\SC(C)C(=O)N1c1ccccc1)c1ccc(Cl)c(Cl)c1
13,CHEMBL3347367,NC(=S)N/N=C\c1ccccc1OCc1ccc2no[n+]([O-])c2c1
14,CHEMBL3347359,C=CCNC(=S)N/N=C/c1cccc(OCc2ccc3no[n+]([O-])c3c2)c1
15,CHEMBL3347304,C=CCNC(=S)N/N=C/c1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1
16,CHEMBL2180346,CCC1S/C(=N/N=C(\C)COc2ccccc2)N(c2ccc(C)cc2)C1=O
17,CHEMBL3347373,CC1(C)[N+]([O-])=c2ccc(COc3ccccc3/C=N\NC(=S)Nc3ccccc3)cc2=[N+]1[O-]
18,CHEMBL3347314,C=CCNC(=S)N/N=C/c1ccc(OCc2ccc3c(c2)=[N+]([O-])C(C)(C)[N+]=3[O-])cc1
19,CHEMBL3347315,[O-][n+]1onc2ccc(COc3ccc(/C=N/NC(=S)Nc4ccccc4)cc3)cc21
20,CHEMBL1082216,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1ccccc1C(=O)c1ccc(Cl)cc1
21,CHEMBL3629562,C/C(=N\N=C1\SCC(=O)N1c1ccccc1)c1ccc(Cl)c(Cl)c1
22,CHEMBL514956,COc1cc2c(cc1OC)/C(=N/NC(N)=S)CC2
23,CHEMBL1914484,NC(=S)N/N=C1\CCc2ccc([N+](=O)[O-])cc21
24,CHEMBL391827,O=S(=O)(/C=C\c1ccc2c(c1)no[n+]2[O-])c1ccccc1
25,CHEMBL274715,CCOC(=O)[C@@H]1O[C@H]1[C@@H](O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
26,CHEMBL249814,CCOC(=O)[C@H]1O[C@H]1C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
27,CHEMBL313679,CC/C(=N\N=C(\N)S)c1cccc(Br)c1
28,CHEMBL1276197,NC(=S)N/N=C/CSc1ccccc1
29,CHEMBL1276198,CC1S/C(=N/N=C/CCSc2ccccc2)NC1=O
30,CHEMBL1276300,O=C1CS/C(=N/N=C/CSc2ccc(Cl)cc2)N1
31,CHEMBL1277145,CCC1S/C(=N/N=C(\C)CSc2ccc(S)cc2)NC1=O
32,CHEMBL313679,CC/C(=N\N=C(\N)S)c1cccc(Br)c1
33,CHEMBL4244085,CCOC(=O)/C=C/C=C/C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1
34,CHEMBL3629559,CCC1S/C(=N/N=C(\C)c2ccc(Cl)c(Cl)c2)N(C)C1=O
35,CHEMBL4247963,O=C(/C=C/[C@@H](O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)NCc1ccccc1
36,CHEMBL1078779,Cc1nc(-c2cnccn2)sc1C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1
37,CHEMBL3613577,CC(C)c1ccc(OC/C(=N\NC(N)=S)c2ccc(Br)cc2)cc1
38,CHEMBL3613591,NC(=S)N/N=C(\COc1ccc(-c2ccccc2)cc1)c1ccc(Br)cc1
39,CHEMBL474727,COc1ccc2c(c1OC)CC/C2=N\NC(N)=S
40,CHEMBL2180331,C/C(COc1ccccc1)=N\Nc1nc(-c2ccc(Cl)c(Cl)c2Cl)cs1
41,CHEMBL2180351,C/C(COc1ccccc1)=N\Nc1nc(-c2cccnc2)cs1
42,CHEMBL3220745,c1ccc(N/C(=N/Cc2ccco2)N2CCNCC2)cc1
43,CHEMBL568312,[O-][n+]1onc2ccc(/C=C/[S+]([O-])c3ccccc3)cc21
44,CHEMBL2064842,Cc1ccc(-c2csc(N/N=C3\CCc4cc(C)ccc43)n2)cc1
45,CHEMBL3623844,Cc1ccc(OCCSc2nc3ccccc3n2CC(=O)O)c(C)c1
46,CHEMBL3121910,C/C(=N\NC(N)=S)C(C)Oc1cccc2ccccc12
47,CHEMBL474331,COc1cccc2c1CC/C2=N\NC(N)=S
48,CHEMBL1241726,Clc1ccc2c(NCCCN3CCOCC3)ccnc2c1
49,CHEMBL4096598,Cl.c1ccc(CNCc2cc3ccccc3[nH]2)cc1
50,CHEMBL4091574,O=C(CN1CCc2ccccc2C1)Nc1ccccc1
51,CHEMBL4246909,CCOC(=O)/C=C/[C@@H](O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
52,CHEMBL2420113,NC(=S)N/N=C(\COC(=O)CCC(=O)O)c1ccc([N+](=O)[O-])cc1
53,CHEMBL2420105,C/C(=N\NC(N)=S)c1cccc(N)c1
54,CHEMBL3827125,C=CCN1C(=O)C(CC(=O)O)S/C1=N\c1sc2c(c1C(=O)OC(C)C)CCCC2
55,CHEMBL3828647,CCOC(=O)c1c(/N=c2\scc(-c3ccccc3)n2-c2ccccc2)sc2c1CCCC2
56,CHEMBL3827142,CCOC(=O)c1c(NC(=S)Nc2ccccc2)sc2c1CCCC2
57,CHEMBL3828686,C=CCN1C(=O)C(C(=O)OCC)S/C1=N\c1sc2c(c1C(=O)OCC)CCCC2
58,CHEMBL3827939,C=CCn1c(-c2ccccc2)cs/c1=N\c1sc2c(c1C(=O)OC(C)C)CCCC2
59,CHEMBL3827522,CCOC(=O)c1c(/N=C2\SC(C(=O)OCC)C(=O)N2c2ccccc2)sc2c1CCCC2
60,CHEMBL1292,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
61,CHEMBL1916946,COc1cc2c(cc1OC)/C(=N/NC(=S)Nc1ccc(Cl)cc1)CC2
62,CHEMBL2064835,Cc1ccc(-c2csc(N/N=C3\CCc4c(C)cccc43)n2)cc1
63,CHEMBL1276255,CCC1S/C(=N/N=C/CSc2ccc(Br)cc2)NC1=O
