No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,0.207758,0.222766,0.23403,0.015007999999999994,-0.02627199999999999,-0.005631999999999998
2,C,-0.233077,-0.019249,-0.418227,0.21382800000000002,0.18515,0.199489
3,N,-0.557959,-0.47021,-0.551731,0.08774899999999997,-0.006228000000000011,0.04076049999999998
4,C,0.423835,0.446151,0.346393,0.022316000000000003,0.07744200000000001,0.04987900000000001
5,O,-0.362266,-0.187648,-0.492668,0.17461799999999997,0.13040200000000002,0.15250999999999998
6,C,-0.19269,-0.097158,-0.3115,0.095532,0.11881,0.107171
7,C,-0.127551,-0.103552,-0.24161,0.023998999999999993,0.114059,0.069029
8,H,0.14026,0.231052,0.054091,0.09079200000000001,0.086169,0.0884805
9,H,0.141119,0.233422,0.06518,0.092303,0.07593899999999999,0.084121
10,H,0.262217,0.32304,0.200715,0.060823000000000016,0.06150199999999997,0.061162499999999995
11,H,0.150716,0.215954,0.057509,0.06523800000000002,0.09320699999999998,0.0792225
12,H,0.14764,0.205431,0.057818,0.05779100000000001,0.08982199999999999,0.0738065
