No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.097752,-0.058255,-0.143559,0.039497000000000004,0.04580699999999999,0.042651999999999995
2,C,-0.111204,-0.04944,-0.1946,0.061764,0.083396,0.07258
3,C,-0.134221,-0.052395,-0.141352,0.08182600000000001,0.0071309999999999985,0.044478500000000004
4,C,-0.062332,-0.030428,-0.138841,0.031904,0.076509,0.0542065
5,C,-0.197518,-0.159865,-0.144005,0.03765299999999999,-0.053513000000000005,-0.007930000000000006
6,C,0.215176,0.26401,0.183769,0.048834000000000016,0.03140700000000002,0.04012050000000002
7,O,-0.341303,-0.284988,-0.374623,0.056315000000000004,0.03331999999999996,0.04481749999999998
8,C,0.443814,0.461309,0.395063,0.01749500000000004,0.04875099999999999,0.033123000000000014
9,O,-0.335797,-0.196759,-0.439867,0.13903800000000002,0.10407,0.12155400000000001
10,C,-0.303038,-0.207384,-0.409002,0.09565399999999996,0.105964,0.10080899999999998
11,C,0.067009,0.105171,-0.055059,0.038162,0.122068,0.08011499999999999
12,H,0.150647,0.204581,0.094807,0.05393400000000001,0.05584,0.054887000000000005
13,H,0.137524,0.200599,0.070967,0.06307499999999999,0.066557,0.064816
14,H,0.133216,0.199713,0.074586,0.066497,0.05863,0.0625635
15,H,0.132561,0.184528,0.075998,0.051966999999999985,0.056563000000000016,0.054265
16,H,0.159913,0.22337,0.0798,0.06345700000000001,0.080113,0.07178500000000002
17,H,0.143305,0.196234,0.065918,0.052929000000000004,0.07738699999999998,0.065158
