No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.219604,-0.189207,-0.156473,0.030397000000000007,-0.06313099999999999,-0.016366999999999993
2,C,-0.152445,-0.096107,-0.077871,0.056338,-0.074574,-0.009118000000000001
3,C,-0.173209,-0.01796,-0.106995,0.155249,-0.066214,0.0445175
4,C,-0.219604,-0.189194,-0.156451,0.030409999999999993,-0.06315299999999999,-0.016371499999999997
5,C,-0.341861,-0.321556,-0.145733,0.020305000000000017,-0.19612800000000002,-0.0879115
6,H,0.134347,0.250692,0.051767,0.11634500000000003,0.08257999999999999,0.09946250000000001
7,H,0.141668,0.229348,-0.024613,0.08768000000000001,0.16628099999999998,0.1269805
8,H,0.138011,0.232333,-0.101626,0.09432200000000002,0.239637,0.1669795
9,H,0.134359,0.250693,0.051795,0.11633399999999999,0.082564,0.099449
10,H,0.141671,0.229342,-0.024582,0.087671,0.16625299999999998,0.126962
11,H,0.133722,0.193575,-0.136243,0.05985299999999999,0.269965,0.164909
12,H,0.149221,0.234497,-0.036804,0.08527600000000002,0.186025,0.1356505
13,H,0.133724,0.193545,-0.136172,0.059820999999999985,0.269896,0.1648585
