No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.24071,-0.23805,-0.28127,0.0026599999999999957,0.04056000000000001,0.021610000000000004
2,C,-0.17179,-0.07733,-0.30086,0.09446,0.12907000000000002,0.111765
3,C,-0.22119,-0.08017,-0.23024,0.14101999999999998,0.009050000000000002,0.07503499999999999
4,C,-0.16395,-0.18476,-0.25412,-0.020809999999999995,0.09017,0.03468
5,C,-0.15594,-0.03448,-0.14353,0.12146,-0.012410000000000004,0.054525
6,C,0.3625,0.46486,0.32747,0.10236,0.035030000000000006,0.068695
7,O,-0.52851,-0.46297,-0.5719,0.06554000000000004,0.04338999999999993,0.054464999999999986
8,C,0.7957,0.76172,0.76935,-0.03398000000000001,0.026349999999999985,-0.003815000000000013
9,O,-0.56214,-0.38944,-0.67917,0.17269999999999996,0.11703000000000008,0.14486500000000002
10,C,-0.30777,-0.15843,-0.46327,0.14934,0.15550000000000003,0.15242
11,C,-0.12149,-0.12433,-0.28109,-0.0028399999999999953,0.15960000000000002,0.07838
12,H,0.23056,0.26646,0.19867,0.03589999999999999,0.031889999999999974,0.03389499999999998
13,H,0.21284,0.24701,0.1787,0.034170000000000006,0.034140000000000004,0.034155000000000005
14,H,0.2136,0.24601,0.17929,0.032409999999999994,0.03431000000000001,0.03336
15,H,0.21163,0.24826,0.18256,0.036629999999999996,0.029070000000000012,0.032850000000000004
