No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.3815,-0.38364,-0.40001,-0.0021399999999999753,0.01850999999999997,0.008184999999999998
2,C,-0.02297,0.1984,0.0061,0.22136999999999998,-0.029070000000000002,0.09615
3,C,-0.22235,0.03078,-0.23365,0.25312999999999997,0.011300000000000004,0.132215
4,C,-0.38148,-0.38358,-0.39999,-0.0020999999999999908,0.018510000000000026,0.008205000000000018
5,C,-0.58775,-0.63204,-0.65897,-0.04429000000000005,0.07121999999999995,0.01346499999999995
6,H,0.18357,0.29614,0.14024,0.11257,0.04333000000000001,0.07795
7,H,0.19972,0.2575,0.08955,0.05778,0.11017,0.083975
8,H,0.2182,0.26737,0.07982,0.04916999999999999,0.13838,0.093775
9,H,0.18356,0.29612,0.14024,0.11256,0.04332,0.07794
10,H,0.19973,0.25749,0.08958,0.057760000000000006,0.11014999999999998,0.083955
11,H,0.20297,0.2518,0.0189,0.04883000000000001,0.18407,0.11645000000000001
