No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.20119,-0.16423,-0.22336,0.03696000000000002,0.022169999999999995,0.029565000000000008
2,C,-0.02295,-0.03418,-0.0101,-0.01123,-0.012850000000000002,-0.012040000000000002
3,C,-0.14026,-0.12132,-0.15175,0.01894,0.01149,0.015215
4,C,-0.15336,-0.14929,-0.1539,0.00406999999999999,0.0005400000000000127,0.0023050000000000015
5,C,-0.20881,-0.20767,-0.20633,0.0011400000000000021,-0.0024799999999999822,-0.00066999999999999
6,C,-0.01836,-0.01959,-0.00488,-0.0012299999999999985,-0.013480000000000002,-0.007355
7,C,-0.41435,-0.41366,-0.41755,0.0006899999999999684,0.0031999999999999806,0.0019449999999999745
8,C,-0.1647,-0.16738,-0.16186,-0.002679999999999988,-0.002840000000000009,-0.0027599999999999986
9,N,-0.65804,-0.65027,-0.67254,0.007769999999999944,0.014500000000000068,0.011135000000000006
10,C,0.71437,0.70734,0.72311,-0.007029999999999981,-0.008740000000000081,-0.007885000000000031
11,O,-0.65962,-0.62936,-0.65944,0.030259999999999954,-0.00017999999999995797,0.015039999999999998
12,C,-0.11698,-0.12721,-0.10426,-0.010229999999999989,-0.012719999999999995,-0.011474999999999992
13,C,-0.16508,-0.19345,-0.34959,-0.028370000000000006,0.18451,0.07807
14,C,-0.43734,-0.40291,-0.52756,0.034430000000000016,0.09022000000000002,0.06232500000000002
15,S,2.11513,2.11453,2.11021,-0.000600000000000378,0.0049200000000002575,0.0021599999999999397
16,O,-0.96284,-0.95835,-1.00517,0.004489999999999994,0.04232999999999987,0.02340999999999993
17,O,-0.9365,-0.91559,-0.98852,0.020909999999999984,0.052019999999999955,0.03646499999999997
18,C,-0.29445,-0.30071,-0.37158,-0.006259999999999988,0.07713000000000003,0.03543500000000002
19,C,-0.18553,-0.1982,-0.25961,-0.012669999999999987,0.07408000000000001,0.03070500000000001
20,C,-0.27711,-0.28055,-0.28614,-0.0034399999999999986,0.009029999999999982,0.002794999999999992
21,C,0.456,0.46269,0.34163,0.006689999999999974,0.11437000000000003,0.06053
22,F,-0.34507,-0.33819,-0.37921,0.006879999999999997,0.034140000000000004,0.02051
