No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.59125,-0.59244,-0.58889,-0.0011899999999999133,-0.0023600000000000287,-0.001774999999999971
2,C,0.15271,0.15116,0.1501,-0.0015500000000000236,0.002610000000000001,0.0005299999999999888
3,C,-0.61741,-0.61921,-0.61464,-0.0018000000000000238,-0.00277000000000005,-0.002285000000000037
4,O,-0.59019,-0.58376,-0.59993,0.006430000000000047,0.009739999999999971,0.008085000000000009
5,C,-0.09028,-0.10706,-0.08731,-0.016780000000000003,-0.0029700000000000004,-0.009875000000000002
6,C,0.01098,0.14755,-0.17991,0.13657,0.19088999999999998,0.16373
7,C,-0.01704,-0.02616,0.00469,-0.00912,-0.02173,-0.015425
8,C,-0.13143,-0.06421,-0.26593,0.06721999999999999,0.1345,0.10086
9,C,-0.15353,-0.13074,-0.20293,0.022790000000000005,0.0494,0.036095
10,C,-0.214,-0.2053,-0.26053,0.008699999999999986,0.04652999999999999,0.027614999999999987
11,C,-0.01932,0.06976,-0.19939,0.08908,0.18007,0.134575
12,C,-0.41432,-0.43172,-0.39295,-0.01739999999999997,-0.02137,-0.019384999999999986
13,C,-0.09386,-0.09296,-0.09522,0.000899999999999998,0.00136,0.001129999999999999
14,N,-0.65706,-0.65555,-0.6445,0.0015100000000000113,-0.012560000000000016,-0.005525000000000002
15,C,0.7394,0.73446,0.73948,-0.0049399999999999444,-8.000000000008001e-05,-0.0025100000000000122
16,O,-0.6876,-0.67766,-0.68917,0.009939999999999949,0.0015699999999999603,0.005754999999999955
17,C,-0.0967,-0.10025,-0.09535,-0.0035500000000000115,-0.00134999999999999,-0.002450000000000001
18,N,-0.71082,-0.64824,-0.70676,0.06257999999999997,-0.0040599999999999525,0.029260000000000008
19,C,0.87726,0.84988,0.87689,-0.02738000000000007,0.0003700000000000925,-0.01350499999999999
20,O,-0.71577,-0.66892,-0.72017,0.04685000000000006,0.0043999999999999595,0.02562500000000001
21,N,-0.5754,-0.39495,-0.57929,0.18045,0.003889999999999949,0.09216999999999997
22,C,-0.00633,-0.02466,-0.00341,-0.018330000000000003,-0.00292,-0.010625
23,C,-0.60247,-0.5994,-0.60251,0.003069999999999906,4.0000000000040004e-05,0.001554999999999973
24,C,-0.59694,-0.58901,-0.59738,0.007929999999999993,0.00043999999999999595,0.004184999999999994
25,C,0.19371,0.17836,0.19506,-0.015350000000000003,-0.0013500000000000179,-0.00835000000000001
26,C,-0.60058,-0.5983,-0.60022,0.0022799999999999487,-0.00036000000000002697,0.0009599999999999609
27,C,-0.60104,-0.6045,-0.60007,-0.0034600000000000186,-0.0009700000000000264,-0.0022150000000000225
28,C,-0.60374,-0.59428,-0.60372,0.009460000000000024,-2.0000000000020002e-05,0.004720000000000002
29,C,-0.20154,-0.19953,-0.20218,0.002009999999999984,0.0006400000000000017,0.0013249999999999929
30,C,-0.60076,-0.59967,-0.60521,0.0010899999999999244,0.004450000000000065,0.0027699999999999947
31,C,-0.58278,-0.58365,-0.58127,-0.0008700000000000374,-0.0015100000000000113,-0.0011900000000000244
32,C,0.72585,0.72028,0.73105,-0.005569999999999964,-0.005199999999999982,-0.005384999999999973
33,O,-0.65581,-0.64053,-0.65963,0.01527999999999996,0.0038200000000000456,0.009550000000000003
34,N,-0.5055,-0.49585,-0.51378,0.009649999999999936,0.008280000000000065,0.008965
35,C,-0.21115,-0.21232,-0.21073,-0.0011700000000000044,-0.0004200000000000037,-0.000795000000000004
36,C,-0.02768,-0.02915,-0.02685,-0.001469999999999999,-0.0008300000000000009,-0.00115
37,O,-0.58761,-0.58203,-0.59526,0.005579999999999918,0.007650000000000046,0.006614999999999982
38,C,-0.04165,-0.03997,-0.04202,0.001680000000000001,0.00037000000000000227,0.0010250000000000016
39,C,-0.215,-0.21488,-0.21414,0.00012000000000000899,-0.0008599999999999997,-0.00036999999999999533
