No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.5821,-0.58215,-0.58208,-4.999999999999449e-05,-1.999999999990898e-05,-3.4999999999951736e-05
2,C,-0.393,-0.39455999999999997,-0.39184,-0.0015599999999999503,-0.0011599999999999944,-0.0013599999999999723
3,C,-0.17687,-0.17851,-0.17592,-0.0016400000000000026,-0.0009500000000000064,-0.0012950000000000045
4,N,-0.56099,-0.5544,-0.56379,0.006589999999999985,0.0028000000000000247,0.004695000000000005
5,C,-0.17381,-0.17305,-0.17457,0.0007599999999999829,0.0007600000000000107,0.0007599999999999968
6,C,-0.5965,-0.59664,-0.59643,-0.00013999999999991797,-7.00000000000145e-05,-0.00010499999999996623
7,C,0.8840899999999999,0.88185,0.88384,-0.0022399999999999087,0.00024999999999997247,-0.0009949999999999681
8,O,-0.67374,-0.65886,-0.68171,0.014880000000000004,0.007970000000000033,0.011425000000000018
9,N,-0.55385,-0.5615899999999999,-0.5499,-0.007739999999999969,-0.003949999999999898,-0.005844999999999934
10,C,-0.17994000000000002,-0.18235,-0.18162,-0.0024099999999999955,0.001679999999999987,-0.0003650000000000042
11,C,-0.39469,-0.39648,-0.39552,-0.0017900000000000138,0.0008299999999999974,-0.0004800000000000082
12,C,-0.04055,-0.034710000000000005,-0.03748,0.005839999999999998,-0.0030700000000000033,0.0013849999999999973
13,C,-0.41423999999999994,-0.41722,-0.40839000000000003,-0.002980000000000038,-0.005849999999999911,-0.0044149999999999745
14,C,-0.022619999999999998,-0.05068,-0.022430000000000002,-0.028060000000000005,-0.00018999999999999573,-0.014125
15,C,-0.23133,-0.23676999999999998,-0.33071999999999996,-0.005439999999999973,0.09938999999999995,0.04697499999999999
16,C,-0.19315,-0.18370999999999998,-0.27351,0.009440000000000004,0.08035999999999999,0.044899999999999995
17,C,-0.20494,-0.19105999999999998,-0.19738,0.013880000000000031,-0.007560000000000011,0.00316000000000001
18,C,-0.1859,-0.18342,-0.28189000000000003,0.00248000000000001,0.09599000000000002,0.049235000000000015
19,C,-0.22321,-0.23661999999999997,-0.2898,-0.013409999999999977,0.06659000000000001,0.026590000000000016
20,C,-0.18057,-0.23548000000000002,-0.1823,-0.054910000000000014,0.0017299999999999816,-0.026590000000000016
21,N,-0.57121,-0.09746,-0.5687300000000001,0.47375,-0.0024799999999999267,0.23563500000000004
22,C,-0.1988,-0.25431,-0.2019,-0.055509999999999976,0.0030999999999999917,-0.026204999999999992
23,C,0.016390000000000002,0.0137,0.01519,-0.0026900000000000014,0.0012000000000000014,-0.000745
24,C,-0.49208,-0.48555,-0.48788000000000004,0.006530000000000036,-0.0041999999999999815,0.0011650000000000271
25,C,0.7353,0.72727,0.6430100000000001,-0.008029999999999982,0.09228999999999987,0.042129999999999945
26,O,-0.65895,-0.66606,-0.7175,-0.00710999999999995,0.05854999999999999,0.02572000000000002
