No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.5867,-0.5897600000000001,-0.58496,-0.0030600000000000627,-0.0017399999999999638,-0.0024000000000000132
2,C,-0.02683,-0.031180000000000003,-0.02495,-0.004350000000000003,-0.0018799999999999997,-0.0031150000000000014
3,N,-0.67045,-0.66628,-0.6745399999999999,0.004170000000000007,0.004089999999999927,0.004129999999999967
4,C,0.73352,0.7347199999999999,0.7319899999999999,0.0011999999999999789,0.0015300000000000313,0.001365000000000005
5,O,-0.66565,-0.66277,-0.66055,0.0028799999999999937,-0.005099999999999993,-0.0011099999999999999
6,C,-0.11410999999999999,-0.11369000000000001,-0.11417000000000001,0.00041999999999997595,6.000000000001837e-05,0.00023999999999999716
7,N,-0.6492,-0.64232,-0.65166,0.006879999999999997,0.0024600000000000177,0.0046700000000000075
8,C,0.57085,0.56593,0.57228,-0.0049199999999999244,-0.0014300000000000423,-0.0031749999999999834
9,O,-0.64932,-0.63757,-0.66096,0.011750000000000038,0.011639999999999984,0.011695000000000011
10,C,-0.223,-0.22288000000000002,-0.2235,0.00011999999999998123,0.0005000000000000004,0.00030999999999999084
11,C,-0.38924000000000003,-0.38969000000000004,-0.38902,-0.00045000000000000595,-0.00022000000000005349,-0.0003350000000000297
12,C,-0.38875,-0.38928,-0.38831,-0.0005300000000000304,-0.00043999999999999595,-0.0004850000000000132
13,C,-0.38491,-0.38597,-0.38406,-0.0010600000000000054,-0.0008499999999999619,-0.0009549999999999836
14,C,-0.38878,-0.38914,-0.38849,-0.00035999999999997145,-0.00029000000000001247,-0.00032499999999999196
15,C,-0.38756,-0.38789,-0.38739,-0.00032999999999999696,-0.00017000000000000348,-0.0002500000000000002
16,C,-0.02313,-0.009609999999999999,-0.03431,0.013520000000000003,0.011179999999999999,0.01235
17,C,-0.20744,-0.14006,-0.2319,0.06738000000000002,0.024459999999999982,0.04592
18,C,-0.17745,-0.16774,-0.18808,0.009709999999999996,0.01063,0.010169999999999998
19,C,-0.19966,-0.17944000000000002,-0.2043,0.020219999999999988,0.004640000000000005,0.012429999999999997
20,C,-0.05633,-0.052489999999999995,-0.025710000000000004,0.003840000000000003,-0.030619999999999994,-0.013389999999999996
21,C,-0.08582999999999999,-0.04464,-0.10547000000000001,0.04118999999999999,0.01964000000000002,0.030415000000000005
22,C,0.0709,0.18887,-0.05405,0.11797,0.12495,0.12146000000000001
23,N,-0.44427,-0.44206999999999996,-0.47115,0.0022000000000000353,0.026880000000000015,0.014540000000000025
24,C,0.10079,0.2035,0.06654,0.10270999999999998,0.03425,0.06847999999999999
25,C,-0.16244,-0.12267,-0.19676,0.03977,0.03431999999999999,0.037044999999999995
26,C,0.01681,0.05409,-0.06014,0.03728,0.07694999999999999,0.057115
