No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.80617,-0.79994,-0.81059,0.006230000000000069,0.0044199999999999795,0.005325000000000024
2,S,2.11619,2.10632,2.11364,-0.009869999999999823,0.00254999999999983,-0.0036599999999999966
3,O,-0.94471,-0.92672,-0.98547,0.01799000000000006,0.04075999999999991,0.029374999999999984
4,O,-0.93081,-0.92505,-0.96483,0.005759999999999987,0.03401999999999994,0.019889999999999963
5,C,-0.24036,-0.21843,-0.38563,0.021929999999999977,0.14526999999999998,0.08359999999999998
6,C,-0.2175,-0.20753,-0.22549,0.009970000000000007,0.007989999999999997,0.008980000000000002
7,C,-0.05861,-0.01813,-0.11692,0.04048,0.058309999999999994,0.049394999999999994
8,Cl,0.0398,0.10609,-0.04101,0.06629,0.08080999999999999,0.07355
9,C,-0.04231,-0.04576,-0.17167,-0.0034500000000000017,0.12935999999999998,0.062955
10,Cl,0.04464,0.08683,-0.05031,0.042190000000000005,0.09495,0.06857
11,C,-0.19402,-0.17085,-0.17933,0.023169999999999996,-0.014690000000000009,0.004239999999999994
12,C,-0.01301,-0.04421,-0.12128,-0.0312,0.10827,0.038535
13,C,-0.06414,0.07872,-0.03295,0.14286,-0.031190000000000002,0.055834999999999996
14,C,-0.17797,-0.14297,-0.19093,0.034999999999999976,0.01296,0.023979999999999987
15,C,-0.19227,-0.18374,-0.21215,0.00853000000000001,0.01988000000000001,0.01420500000000001
16,C,-0.03355,0.11012,-0.10109,0.14367,0.06753999999999999,0.105605
17,C,-0.39597,-0.41862,-0.38559,-0.022650000000000003,-0.01038,-0.016515000000000002
18,C,-0.10711,-0.09887,-0.11197,0.008239999999999997,0.004860000000000003,0.00655
19,C,0.29413,0.26999,0.30633,-0.024139999999999995,-0.012199999999999989,-0.01816999999999999
20,N,-0.31481,-0.27402,-0.33284,0.04078999999999999,0.018030000000000046,0.02941000000000002
21,N,-0.67126,-0.65701,-0.66832,0.014249999999999985,-0.0029399999999999427,0.005655000000000021
22,C,0.73206,0.73331,0.72538,0.0012499999999999734,0.006680000000000019,0.003964999999999996
23,O,-0.6441,-0.62864,-0.64152,0.01546000000000003,-0.0025800000000000267,0.006440000000000001
24,C,-0.0855,-0.08737,-0.08529,-0.0018699999999999967,-0.00021000000000000185,-0.0010399999999999993
25,C,-0.40421,-0.40843,-0.40663,-0.0042200000000000015,0.0024199999999999777,-0.0009000000000000119
26,C,-0.02886,-0.00709,-0.0227,0.02177,-0.006159999999999999,0.007805000000000001
27,C,-0.19465,-0.19942,-0.19431,-0.0047699999999999965,-0.0003399999999999792,-0.002554999999999988
28,C,-0.19871,-0.15842,-0.20254,0.04028999999999999,0.00383,0.022059999999999996
29,C,-0.19879,-0.16854,-0.20468,0.03025,0.005890000000000006,0.018070000000000003
30,C,-0.19887,-0.19983,-0.20116,-0.0009600000000000164,0.0022900000000000142,0.0006649999999999989
31,C,-0.0405,-0.00583,-0.03879,0.03467,-0.0017100000000000032,0.016479999999999998
32,C,-0.18036,-0.18959,-0.17979,-0.009230000000000016,-0.0005699999999999872,-0.004900000000000002
33,N,-0.70781,-0.70385,-0.70532,0.003960000000000075,-0.0024900000000001032,0.0007349999999999857
34,C,-0.19363,-0.16136,-0.20184,0.03226999999999999,0.008209999999999995,0.020239999999999994
35,C,-0.17814,-0.16174,-0.21137,0.016399999999999998,0.03323000000000001,0.024815000000000004
36,H,0.25483,0.26654,0.22952,0.011709999999999998,0.02531,0.01851
37,H,0.23676,0.24232,0.23001,0.005560000000000009,0.006750000000000006,0.006155000000000008
38,H,0.22994,0.23841,0.2197,0.008470000000000005,0.010239999999999999,0.009355000000000002
39,H,0.2347,0.24949,0.20688,0.014789999999999998,0.027819999999999984,0.02130499999999999
40,H,0.2409,0.24651,0.21432,0.005610000000000004,0.026579999999999993,0.016094999999999998
41,H,0.23277,0.25428,0.22755,0.02151,0.005220000000000002,0.013365000000000002
42,H,0.22004,0.2423,0.2005,0.022259999999999974,0.019540000000000002,0.020899999999999988
43,H,0.23436,0.25379,0.22158,0.019430000000000003,0.012780000000000014,0.016105000000000008
44,H,0.21264,0.23242,0.20054,0.019779999999999992,0.0121,0.015939999999999996
45,H,0.25998,0.26326,0.26262,0.003280000000000005,-0.002640000000000031,0.00031999999999998696
46,H,0.42739,0.43572,0.42069,0.008330000000000004,0.006699999999999984,0.007514999999999994
47,H,0.20117,0.21109,0.19621,0.009920000000000012,0.004959999999999992,0.007440000000000002
48,H,0.22595,0.23433,0.22662,0.008379999999999999,-0.0006699999999999762,0.003855000000000011
49,H,0.21291,0.21586,0.21842,0.002950000000000008,-0.005510000000000015,-0.0012800000000000034
50,H,0.20687,0.21456,0.20739,0.007690000000000002,-0.0005199999999999927,0.003585000000000005
51,H,0.20807,0.21865,0.20455,0.010580000000000006,0.0035199999999999954,0.007050000000000001
52,H,0.20784,0.21975,0.20341,0.011910000000000004,0.0044299999999999895,0.008169999999999997
53,H,0.20515,0.21652,0.20197,0.011369999999999991,0.0031799999999999884,0.00727499999999999
54,H,0.18118,0.20083,0.17786,0.01965,0.0033200000000000174,0.011485000000000009
55,H,0.20679,0.22096,0.20355,0.014169999999999988,0.003239999999999993,0.00870499999999999
56,H,0.36109,0.36658,0.36154,0.005489999999999995,-0.00044999999999995044,0.0025200000000000222
57,H,0.2165,0.23923,0.19665,0.02273,0.019850000000000007,0.021290000000000003
58,H,0.21405,0.23715,0.20688,0.02310000000000001,0.007169999999999982,0.015134999999999996
