No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,N,-0.31788,-0.29826,-0.34059,0.01961999999999997,0.022710000000000008,0.02116499999999999
2,C,0.28791,0.27767,0.29918,-0.010240000000000027,-0.011270000000000002,-0.010755000000000015
3,C,0.01197,0.01101,0.01295,-0.000959999999999999,-0.00098,-0.0009699999999999995
4,N,-0.66401,-0.66014,-0.66679,0.00387000000000004,0.0027800000000000047,0.0033250000000000224
5,C,0.72215,0.7167,0.72624,-0.005449999999999955,-0.004090000000000038,-0.0047699999999999965
6,O,-0.63409,-0.62926,-0.63981,0.004830000000000001,0.005719999999999947,0.005274999999999974
7,C,-0.08122,-0.08289,-0.08222,-0.0016700000000000048,0.0010000000000000009,-0.00033500000000000196
8,C,-0.38517,-0.38493,-0.38539,0.00024000000000001798,0.00021999999999999797,0.00023000000000000798
9,C,-0.38449,-0.384,-0.38539,0.0004899999999999904,0.0009000000000000119,0.0006950000000000012
10,C,-0.18579,-0.18805,-0.18304,-0.0022599999999999842,-0.0027500000000000024,-0.0025049999999999933
11,N,-0.53949,-0.53453,-0.5336,0.0049600000000000755,-0.005890000000000062,-0.0004649999999999932
12,C,-0.2023,-0.21743,-0.19226,-0.015130000000000005,-0.010040000000000021,-0.012585000000000013
13,C,-0.0247,0.06803,-0.15119,0.09272999999999999,0.12649,0.10960999999999999
14,C,-0.19369,-0.18242,-0.22293,0.011270000000000002,0.029239999999999988,0.020254999999999995
15,C,-0.18386,-0.15068,-0.22446,0.03317999999999999,0.0406,0.03688999999999999
16,C,-0.08964,-0.10423,-0.14668,-0.014590000000000006,0.05704000000000001,0.021225
17,C,-0.22102,-0.13135,-0.2483,0.08967,0.02728,0.058475
18,C,-0.0135,0.08707,-0.13105,0.10056999999999999,0.11755,0.10905999999999999
19,N,-0.56962,-0.50271,-0.55093,0.06691000000000003,-0.018689999999999984,0.02411000000000002
20,C,0.35552,0.32263,0.29852,-0.03289000000000003,0.056999999999999995,0.012054999999999982
21,N,-0.67869,-0.51266,-0.72032,0.16603,0.041629999999999945,0.10382999999999998
22,C,0.72913,0.7257,0.68601,-0.003429999999999933,0.043119999999999936,0.019845
23,O,-0.64848,-0.5752,-0.69711,0.0732799999999999,0.04863000000000006,0.06095499999999998
24,C,-0.47354,-0.47584,-0.46979,-0.0022999999999999687,-0.003750000000000031,-0.003025
25,C,-0.21529,-0.23067,-0.20224,-0.015379999999999977,-0.013050000000000006,-0.014214999999999992
26,C,-0.39466,-0.38362,-0.40418,0.011039999999999994,0.009519999999999973,0.010279999999999984
27,C,-0.24105,-0.23524,-0.2448,0.005809999999999982,0.0037500000000000033,0.004779999999999993
28,C,-0.03791,-0.04739,-0.03022,-0.009480000000000002,-0.007689999999999999,-0.008585
29,C,-0.20469,-0.20028,-0.20913,0.004409999999999997,0.0044399999999999995,0.004424999999999998
30,C,-0.20389,-0.19278,-0.21268,0.011109999999999981,0.00879000000000002,0.00995
31,C,-0.21135,-0.20165,-0.22018,0.009700000000000014,0.008829999999999977,0.009264999999999995
32,C,-0.20038,-0.19858,-0.20091,0.001799999999999996,0.0005300000000000027,0.0011649999999999994
33,C,-0.20249,-0.20832,-0.1966,-0.005830000000000002,-0.005890000000000006,-0.005860000000000004
34,S,0.41019,0.51977,0.32286,0.10957999999999996,0.08733000000000002,0.09845499999999999
35,C,-0.18137,-0.14212,-0.24236,0.03925000000000001,0.06098999999999999,0.05012
36,C,-0.19843,-0.1928,-0.21012,0.005629999999999996,0.011690000000000006,0.008660000000000001
37,C,-0.3652,-0.3618,-0.36906,0.003400000000000014,0.0038599999999999746,0.0036299999999999943
38,C,-0.34795,-0.34787,-0.3482,7.999999999996898e-05,0.000250000000000028,0.00016499999999999848
39,H,0.3972,0.39931,0.3942,0.0021100000000000008,0.0030000000000000027,0.0025550000000000017
40,H,0.18762,0.19428,0.18124,0.006659999999999999,0.006379999999999997,0.006519999999999998
41,H,0.21017,0.21877,0.20019,0.008599999999999997,0.009979999999999989,0.009289999999999993
42,H,0.2157,0.22297,0.20756,0.007269999999999999,0.008140000000000008,0.0077050000000000035
43,H,0.1982,0.19951,0.19651,0.0013100000000000056,0.001689999999999997,0.0015000000000000013
44,H,0.21088,0.22015,0.19995,0.00927,0.010930000000000023,0.010100000000000012
45,H,0.2042,0.19357,0.2169,-0.01063,-0.012700000000000017,-0.011665000000000009
46,H,0.18359,0.19241,0.17529,0.008819999999999995,0.008300000000000002,0.008559999999999998
47,H,0.18707,0.20448,0.17177,0.01741000000000001,0.01529999999999998,0.016354999999999995
48,H,0.20387,0.22821,0.17271,0.02434,0.031159999999999993,0.027749999999999997
49,H,0.22429,0.24602,0.19813,0.02173,0.02615999999999999,0.023944999999999994
50,H,0.2161,0.2257,0.19845,0.009600000000000025,0.01765,0.013625000000000012
51,H,0.22508,0.25317,0.20374,0.028090000000000004,0.021339999999999998,0.024715
52,H,0.42868,0.45721,0.40587,0.02853,0.022809999999999997,0.02567
53,H,0.22195,0.23612,0.20905,0.014169999999999988,0.012899999999999995,0.013534999999999991
54,H,0.22692,0.24057,0.21529,0.013649999999999995,0.011630000000000001,0.012639999999999998
55,H,0.22566,0.2314,0.22208,0.005739999999999995,0.00358,0.0046599999999999975
56,H,0.2042,0.20983,0.19929,0.005629999999999996,0.004909999999999998,0.005269999999999997
57,H,0.21272,0.22379,0.20325,0.011069999999999997,0.009470000000000006,0.010270000000000001
58,H,0.22171,0.21995,0.22364,-0.0017599999999999838,-0.001930000000000015,-0.0018449999999999994
59,H,0.20629,0.21113,0.20185,0.004840000000000011,0.0044399999999999995,0.004640000000000005
60,H,0.20303,0.21133,0.19535,0.008300000000000002,0.007679999999999992,0.007989999999999997
61,H,0.20248,0.21002,0.19621,0.007540000000000019,0.006269999999999998,0.006905000000000008
62,H,0.20355,0.20501,0.20345,0.001459999999999989,0.00010000000000001674,0.0007800000000000029
63,H,0.23654,0.21928,0.25167,-0.017259999999999998,-0.015130000000000005,-0.016195
64,H,0.20812,0.21783,0.18898,0.009709999999999996,0.01913999999999999,0.014424999999999993
65,H,0.20995,0.23233,0.18299,0.02238000000000001,0.026959999999999984,0.024669999999999997
66,H,0.22524,0.23191,0.21751,0.006670000000000009,0.007729999999999987,0.007199999999999998
67,H,0.22023,0.21792,0.22278,-0.0023100000000000065,-0.0025499999999999967,-0.0024300000000000016
68,H,0.22795,0.23344,0.22153,0.005489999999999995,0.006420000000000009,0.005955000000000002
69,H,0.22981,0.22152,0.23934,-0.008289999999999992,-0.00953000000000001,-0.008910000000000001
