No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.266351,-0.143949,-0.3816,0.12240200000000001,0.11524899999999999,0.1188255
2,C,0.07753,0.09764,-0.012232,0.020110000000000003,0.08976200000000001,0.054936
3,C,-0.335741,-0.149623,-0.459276,0.186118,0.123535,0.1548265
4,C,0.447232,0.457089,0.363379,0.009857000000000005,0.08385300000000001,0.04685500000000001
5,O,-0.380779,-0.157535,-0.497399,0.22324399999999997,0.11662,0.16993199999999997
6,N,-0.531884,-0.451757,-0.563768,0.080127,0.03188400000000002,0.056005500000000014
7,H,0.1648,0.246401,0.051448,0.081601,0.11335200000000001,0.09747650000000001
8,H,0.164235,0.245918,0.050682,0.081683,0.11355299999999999,0.097618
9,H,0.156551,0.24013,0.062336,0.08357900000000001,0.094215,0.088897
10,H,0.247983,0.300356,0.19979,0.052373,0.048193000000000014,0.05028300000000001
11,H,0.256425,0.31533,0.186639,0.058904999999999985,0.06978600000000001,0.0643455
