No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.190315,-0.089048,-0.40862,0.10126700000000001,0.21830499999999997,0.15978599999999998
2,C,-0.264463,-0.209991,-0.359411,0.05447199999999999,0.09494799999999998,0.07470999999999998
3,C,0.445347,0.459683,0.363149,0.014336000000000015,0.082198,0.048267000000000004
4,O,-0.395344,-0.102955,-0.51686,0.29238899999999995,0.12151600000000001,0.20695249999999998
5,N,-0.538867,-0.352401,-0.571145,0.18646599999999997,0.03227800000000003,0.109372
6,H,0.139635,0.218386,0.024815,0.07875099999999999,0.11482,0.0967855
7,H,0.163704,0.213468,0.069296,0.049764,0.09440799999999999,0.072086
8,H,0.131584,0.202354,0.019826,0.07077,0.11175800000000001,0.091264
9,H,0.250315,0.328866,0.19821,0.07855099999999998,0.05210500000000001,0.065328
10,H,0.258405,0.331638,0.180741,0.07323299999999999,0.07766399999999998,0.07544849999999999
