No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.190819,,-0.402021,,0.21120200000000003,
2,C,-0.227012,,-0.242587,,0.015575000000000006,
3,C,0.440007,,0.32497,,0.115037,
4,O,-0.386239,,-0.517881,,0.13164200000000004,
5,N,-0.530558,,-0.560049,,0.029491000000000045,
6,C,-0.120051,,-0.135395,,0.015343999999999983,
7,N,-0.528545,,-0.524692,,-0.0038529999999999953,
8,H,0.126601,,0.039747,,0.08685399999999999,
9,H,0.152735,,0.056232,,0.096503,
10,H,0.24754,,0.198954,,0.04858600000000002,
11,H,0.253643,,0.17995,,0.07369300000000001,
12,H,0.147746,,0.099912,,0.04783399999999999,
13,H,0.175527,,0.114529,,0.06099799999999998,
14,H,0.216383,,0.192195,,0.024187999999999987,
15,H,0.22304,,0.176136,,0.046904,
