No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.233049,-0.045271,-0.465025,0.187778,0.23197600000000002,0.209877
2,C,0.12966,0.251751,0.055196,0.122091,0.074464,0.0982775
3,C,0.407954,0.425733,0.288243,0.01777899999999999,0.11971099999999996,0.06874499999999997
4,O,-0.383437,-0.193487,-0.517222,0.18994999999999998,0.133785,0.1618675
5,N,-0.533672,-0.462602,-0.576933,0.07107000000000002,0.043260999999999994,0.05716550000000001
6,F,-0.255278,-0.141805,-0.322247,0.11347300000000002,0.066969,0.09022100000000001
7,H,0.176033,0.263696,0.090421,0.08766299999999999,0.085612,0.08663749999999999
8,H,0.157092,0.261332,0.045617,0.10424,0.11147500000000002,0.10785750000000001
9,H,0.270253,0.314486,0.215666,0.04423299999999997,0.054587000000000024,0.049409999999999996
10,H,0.264443,0.326168,0.186284,0.06172500000000003,0.07815899999999998,0.069942
