No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.191476,-0.054746,-0.425607,0.13673000000000002,0.234131,0.1854305
2,C,-0.341982,-0.291886,-0.484763,0.05009600000000003,0.142781,0.09643850000000001
3,S,1.088767,1.115523,1.008348,0.026756000000000002,0.08041900000000002,0.05358750000000001
4,O,-0.519452,-0.360522,-0.583112,0.15893000000000002,0.06365999999999994,0.11129499999999998
5,O,-0.530144,-0.394145,-0.58824,0.13599899999999993,0.058096000000000037,0.09704749999999998
6,N,-0.632259,-0.477501,-0.618915,0.154758,-0.013344000000000023,0.07070699999999999
7,H,0.159368,0.243751,0.04592,0.08438299999999999,0.11344800000000001,0.09891549999999999
8,H,0.184583,0.248871,0.085608,0.06428800000000001,0.098975,0.0816315
9,H,0.197437,0.269916,0.098206,0.07247899999999999,0.099231,0.08585499999999999
10,H,0.286122,0.343373,0.240367,0.057250999999999996,0.04575499999999999,0.05150299999999999
11,H,0.299034,0.357365,0.222187,0.058330999999999966,0.07684700000000003,0.067589
