No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.199922,-0.110632,-0.40824,0.08929,0.208318,0.148804
2,C,-0.218747,-0.252657,-0.235298,-0.03391000000000002,0.01655100000000001,-0.008679500000000007
3,C,0.437914,0.504554,0.322051,0.06663999999999992,0.11586300000000005,0.09125149999999999
4,O,-0.387544,-0.217934,-0.519681,0.16961,0.13213699999999995,0.1508735
5,N,-0.527968,-0.480452,-0.557267,0.047516,0.029298999999999964,0.03840749999999998
6,C,-0.127675,-0.125603,-0.144075,0.0020720000000000183,0.016399999999999998,0.009236000000000008
7,N,-0.530186,-0.353185,-0.527962,0.17700100000000002,-0.0022240000000000038,0.08738850000000001
8,H,0.128818,0.184031,0.042833,0.05521300000000001,0.08598499999999998,0.070599
9,H,0.152861,0.191093,0.055296,0.038232000000000016,0.097565,0.0678985
10,H,0.249532,0.292743,0.199545,0.04321099999999997,0.049987000000000004,0.04659899999999999
11,H,0.253469,0.306867,0.179691,0.053398,0.07377800000000001,0.063588
12,H,0.168208,0.240331,0.118831,0.07212299999999999,0.04937699999999999,0.06074999999999999
13,H,0.160615,0.235555,0.104961,0.07493999999999998,0.05565400000000001,0.065297
14,H,0.219272,0.286151,0.197025,0.066879,0.02224699999999999,0.04456299999999999
15,H,0.221355,0.299137,0.17229,0.07778199999999999,0.049065,0.0634235
