No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,0.261489,0.296917,0.126646,0.03542799999999996,0.13484300000000002,0.08513549999999999
2,O,-0.261005,-0.188617,-0.407352,0.07238799999999998,0.146347,0.10936749999999999
3,C,-0.03047,-0.005929,-0.089459,0.024541,0.058989,0.041765
4,C,0.137911,0.293328,0.154102,0.15541699999999997,-0.016190999999999983,0.069613
5,N,0.114208,0.084229,0.09751,-0.029979000000000006,0.016698000000000005,-0.006640500000000001
6,O,-0.104379,-0.024107,-0.159346,0.080272,0.05496699999999999,0.0676195
7,N,-0.087229,0.06123,-0.1941,0.148459,0.106871,0.127665
8,O,-0.298916,-0.014965,-0.40588,0.283951,0.106964,0.1954575
9,C,0.276244,0.311788,0.124814,0.03554400000000002,0.15143,0.09348700000000001
10,O,-0.301296,-0.186379,-0.402829,0.11491700000000002,0.10153299999999998,0.108225
11,H,0.145024,0.178479,0.080827,0.03345500000000001,0.06419699999999999,0.048826
12,H,0.14842,0.194025,0.075067,0.04560500000000001,0.073353,0.059479000000000004
