No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,N,-0.715989,-0.566886,-0.722148,0.14910299999999999,0.0061590000000000256,0.077631
2,P,1.26818,1.339542,1.115623,0.07136199999999993,0.15255700000000005,0.11195949999999999
3,O,-0.590453,-0.336366,-0.662684,0.254087,0.07223100000000005,0.16315900000000003
4,O,-0.560726,-0.504849,-0.528407,0.055876999999999954,-0.03231899999999999,0.011778999999999984
5,C,-0.318091,-0.279669,-0.440625,0.03842200000000001,0.12253399999999998,0.080478
6,C,-0.117965,0.096139,-0.412472,0.21410400000000002,0.294507,0.2543055
7,H,0.271239,0.334086,0.232557,0.06284699999999999,0.038681999999999994,0.05076449999999999
8,H,0.289802,0.341248,0.240789,0.05144599999999999,0.049013,0.050229499999999996
9,H,0.332489,0.366746,0.12052,0.03425700000000004,0.21196899999999996,0.123113
10,H,0.141515,0.210008,0.056847,0.068493,0.084668,0.0765805
