No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,0.446027,0.439296,0.35708,-0.006730999999999987,0.088947,0.041108000000000006
2,O,-0.326577,-0.152036,-0.475784,0.174541,0.14920699999999998,0.161874
3,N,-0.513822,-0.221029,-0.506461,0.29279299999999997,-0.007360999999999951,0.142716
4,C,0.446024,0.439292,0.357075,-0.00673199999999996,0.088949,0.04110850000000002
5,O,-0.326574,-0.15204,-0.475783,0.17453399999999997,0.14920900000000004,0.1618715
6,C,-0.166912,-0.093113,-0.294313,0.073799,0.127401,0.1006
7,C,-0.166914,-0.093118,-0.294318,0.073796,0.12740400000000002,0.10060000000000001
8,H,0.279219,0.363443,0.203804,0.08422400000000002,0.07541499999999998,0.0798195
9,H,0.164765,0.234652,0.06435,0.069887,0.10041499999999999,0.085151
10,H,0.164765,0.234653,0.06435,0.069888,0.10041499999999999,0.08515149999999999
