No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.1396,-0.095071,-0.216781,0.044529,0.077181,0.060855
2,C,-0.105667,-0.045633,-0.160703,0.060034,0.055036000000000015,0.057535
3,C,-0.105666,-0.045633,-0.160702,0.060032999999999996,0.055036000000000015,0.0575345
4,C,-0.139602,-0.095072,-0.216783,0.04453,0.077181,0.0608555
5,C,0.204607,0.260551,0.149739,0.055943999999999966,0.054868,0.05540599999999998
6,O,-0.270052,-0.067415,-0.420418,0.202637,0.150366,0.1765015
7,C,0.204605,0.260549,0.149738,0.055943999999999966,0.054867,0.05540549999999998
8,O,-0.270053,-0.067413,-0.420419,0.20264,0.150366,0.176503
9,H,0.158365,0.230027,0.076789,0.071662,0.08157600000000001,0.076619
10,H,0.15235,0.217542,0.071376,0.065192,0.08097400000000002,0.07308300000000001
11,H,0.15235,0.217542,0.071376,0.065192,0.08097400000000002,0.07308300000000001
12,H,0.158365,0.230027,0.076789,0.071662,0.08157600000000001,0.076619
