No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,N,0.280255,0.284497,0.163239,0.0042420000000000235,0.11701599999999998,0.060629
2,O,-0.233369,-0.115502,-0.514632,0.117867,0.281263,0.199565
3,O,-0.322097,-0.256826,-0.570391,0.06527100000000002,0.24829399999999996,0.1567825
4,C,-0.233848,-0.209739,-0.215939,0.02410899999999999,-0.017909000000000008,0.0030999999999999917
5,C,0.409533,0.510557,0.390239,0.10102400000000006,0.019293999999999978,0.06015900000000002
6,O,-0.328046,0.062121,-0.409379,0.390167,0.08133299999999999,0.23575
7,O,-0.321098,-0.211842,-0.384422,0.10925599999999999,0.06332399999999999,0.08628999999999999
8,H,0.217782,0.27463,0.143722,0.05684799999999998,0.07406000000000001,0.065454
9,H,0.237434,0.313732,0.116614,0.076298,0.12082000000000001,0.09855900000000001
10,H,0.293454,0.348373,0.280949,0.054918999999999996,0.012504999999999988,0.03371199999999999
