No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.116805,0.084515,-0.402626,0.20132,0.285821,0.2435705
2,C,-0.012542,-0.03444,-0.028473,-0.021898,0.015931,-0.0029835
3,C,0.213605,0.288956,0.032411,0.075351,0.181194,0.12827249999999998
4,O,-0.29013,0.078206,-0.487508,0.368336,0.197378,0.282857
5,C,-0.366996,-0.338153,-0.332832,0.028843000000000008,-0.03416399999999997,-0.0026604999999999823
6,C,-0.367613,-0.37327,-0.385171,-0.005656999999999968,0.017557999999999963,0.0059504999999999975
7,H,0.142141,0.204528,0.057819,0.062387,0.08432199999999998,0.07335449999999999
8,H,0.178318,0.258959,0.109748,0.08064099999999999,0.06857,0.07460549999999999
9,H,0.178312,0.258953,0.109751,0.08064099999999999,0.068561,0.074601
10,H,0.15076,0.184765,0.121125,0.03400500000000001,0.02963500000000001,0.03182000000000001
11,H,0.140191,0.202196,0.084645,0.06200499999999998,0.05554600000000001,0.058775499999999994
12,H,0.150758,0.184784,0.121111,0.034026,0.029647000000000007,0.031836500000000004
