No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,0.236749,0.264671,0.197583,0.027922000000000002,0.03916599999999998,0.03354399999999999
2,O,-0.30352,-0.109606,-0.459834,0.19391400000000003,0.156314,0.17511400000000002
3,C,-0.130515,-0.067418,-0.201807,0.06309699999999999,0.071292,0.06719449999999999
4,C,-0.130476,-0.06737,-0.201788,0.06310600000000001,0.07131199999999999,0.06720899999999999
5,C,0.236749,0.264671,0.197583,0.027922000000000002,0.03916599999999998,0.03354399999999999
6,O,-0.30352,-0.109606,-0.459834,0.19391400000000003,0.156314,0.17511400000000002
7,C,-0.130515,-0.067418,-0.201807,0.06309699999999999,0.071292,0.06719449999999999
8,C,-0.130476,-0.06737,-0.201788,0.06310600000000001,0.07131199999999999,0.06720899999999999
9,H,0.163868,0.239854,0.082911,0.075986,0.08095700000000002,0.0784715
10,H,0.163893,0.239868,0.082935,0.07597499999999999,0.08095800000000002,0.0784665
11,H,0.163868,0.239854,0.082911,0.075986,0.08095700000000002,0.0784715
12,H,0.163893,0.239868,0.082935,0.07597499999999999,0.08095800000000002,0.0784665
