No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,0.14437,0.20738,0.13984,0.06301000000000001,0.004530000000000006,0.03377000000000001
2,C,-0.39813,-0.0574,-0.64778,0.34073,0.24965000000000004,0.29519
3,N,-0.65801,-0.51072,-0.66244,0.14729000000000003,0.004430000000000045,0.07586000000000004
4,C,0.68211,0.65261,0.61274,-0.02949999999999997,0.06937000000000004,0.019935000000000036
5,O,-0.58716,-0.3669,-0.73501,0.22026,0.14785000000000004,0.18405500000000002
6,C,-0.27145,-0.16183,-0.43406,0.10962000000000002,0.16260999999999998,0.13611499999999999
7,C,-0.17888,-0.199,-0.34105,-0.02012,0.16217,0.071025
8,H,0.20039,0.22596,0.16072,0.02556999999999998,0.03967000000000001,0.032619999999999996
9,H,0.20322,0.23142,0.17194,0.028199999999999975,0.03128,0.02973999999999999
10,H,0.41555,0.45241,0.37652,0.036860000000000004,0.039029999999999954,0.03794499999999998
11,H,0.227,0.26626,0.18158,0.03925999999999999,0.045420000000000016,0.04234
12,H,0.22098,0.25982,0.177,0.038839999999999986,0.04398000000000002,0.04141
