No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.454,-0.38197,-0.52441,0.07203000000000004,0.07041000000000003,0.07122000000000003
2,C,0.16561,0.27531,-0.02008,0.10969999999999999,0.18569000000000002,0.147695
3,C,-0.41307,-0.17842,-0.5633,0.23465,0.15023000000000003,0.19244
4,C,0.6942,0.62667,0.5981,-0.06753000000000009,0.09610000000000007,0.014284999999999992
5,O,-0.62075,-0.31584,-0.75196,0.30491,0.13120999999999994,0.21805999999999998
6,N,-0.82399,-0.71252,-0.87474,0.11146999999999996,0.05074999999999996,0.08110999999999996
7,H,0.22593,0.29474,0.12622,0.06881000000000001,0.09971,0.08426
8,H,0.22555,0.29451,0.12568,0.06896,0.09987000000000001,0.084415
9,H,0.21953,0.24897,0.17678,0.029439999999999994,0.04275000000000001,0.036095
10,H,0.38346,0.41529,0.35442,0.03182999999999997,0.02904000000000001,0.03043499999999999
11,H,0.39753,0.43325,0.35328,0.03572000000000003,0.04425000000000001,0.03998500000000002
