No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.2832,-0.11545,-0.62329,0.16775,0.34009,0.25392000000000003
2,C,-0.31554,-0.26617,-0.47653,0.04936999999999997,0.16099000000000002,0.10518
3,C,0.6773,0.61703,0.58457,-0.060270000000000046,0.09272999999999998,0.016229999999999967
4,O,-0.63328,-0.23431,-0.76965,0.39896999999999994,0.13637,0.26766999999999996
5,N,-0.81904,-0.54936,-0.87353,0.26968000000000003,0.05449000000000004,0.16208500000000003
6,H,0.1899,0.23142,0.13912,0.041519999999999974,0.05078000000000002,0.04615
7,H,0.20942,0.22097,0.17444,0.011550000000000005,0.03497999999999998,0.023264999999999994
8,H,0.1923,0.23053,0.14168,0.038230000000000014,0.05062,0.044425000000000006
9,H,0.38459,0.42901,0.35422,0.044420000000000015,0.030370000000000008,0.03739500000000001
10,H,0.39755,0.43634,0.34895,0.03878999999999999,0.04860000000000003,0.04369500000000001
