No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.40309,-0.08925,-0.7308,0.31384,0.32771,0.32077500000000003
2,C,0.32315,0.49396,0.21015,0.17081000000000002,0.11299999999999999,0.141905
3,C,0.63502,0.57728,0.50534,-0.057740000000000014,0.12968000000000002,0.03597
4,O,-0.61855,-0.36745,-0.76952,0.25110000000000005,0.15096999999999994,0.201035
5,N,-0.81346,-0.7183,-0.87832,0.09515999999999991,0.06486000000000003,0.08000999999999997
6,F,-0.36881,-0.27083,-0.41904,0.09798000000000001,0.05023,0.074105
7,H,0.23015,0.2549,0.19877,0.024750000000000022,0.03137999999999999,0.028065000000000007
8,H,0.21189,0.25107,0.1612,0.03918000000000002,0.050689999999999985,0.044935
9,H,0.40191,0.42778,0.36927,0.025870000000000004,0.03264,0.029255000000000003
10,H,0.40178,0.44084,0.35294,0.039059999999999984,0.04884000000000005,0.04395000000000002
