No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.30742,-0.07559,-0.6757,0.23183000000000004,0.36827999999999994,0.30005499999999996
2,C,-0.44151,-0.35663,-0.69465,0.08488000000000001,0.25314,0.16901
3,S,2.22221,2.16627,2.20248,-0.0559400000000001,0.019730000000000025,-0.018105000000000038
4,O,-0.9338,-0.74092,-1.00768,0.19287999999999994,0.07387999999999995,0.13337999999999994
5,O,-0.94298,-0.77797,-0.99827,0.16501,0.05528999999999995,0.11014999999999997
6,N,-1.05685,-0.83532,-1.0696,0.22153000000000012,0.012750000000000039,0.11714000000000008
7,H,0.20517,0.24165,0.15675,0.03648000000000001,0.04841999999999999,0.04245
8,H,0.22178,0.23989,0.18121,0.018109999999999987,0.040569999999999995,0.02933999999999999
9,H,0.23109,0.26595,0.18604,0.03486000000000003,0.04504999999999998,0.039955000000000004
10,H,0.39793,0.4327,0.36955,0.03476999999999997,0.028380000000000016,0.03157499999999999
11,H,0.40438,0.43996,0.34986,0.03558,0.05452000000000001,0.04505000000000001
