No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.35674,-0.25973,-0.6719,0.09700999999999999,0.31516000000000005,0.20608500000000002
2,C,-0.11197,-0.1191,-0.23756,-0.0071299999999999975,0.12558999999999998,0.05923
3,C,0.69025,0.68657,0.58651,-0.0036800000000000166,0.10374000000000005,0.05003000000000002
4,O,-0.62761,-0.38368,-0.77765,0.24392999999999998,0.15003999999999995,0.19698499999999997
5,N,-0.82618,-0.75326,-0.8758,0.07291999999999998,0.04962,0.06126999999999999
6,C,-0.19896,-0.23305,-0.177,-0.03409000000000001,-0.021960000000000007,-0.028025000000000008
7,N,-0.85025,-0.55081,-0.84566,0.29943999999999993,-0.004589999999999983,0.14742499999999997
8,H,0.18873,0.22264,0.15866,0.033909999999999996,0.030070000000000013,0.031990000000000005
9,H,0.21447,0.22894,0.17126,0.01447000000000001,0.04321,0.028840000000000005
10,H,0.38743,0.41654,0.3561,0.029110000000000025,0.03132999999999997,0.030219999999999997
11,H,0.39455,0.4288,0.34826,0.03425,0.04629,0.04027
12,H,0.1989,0.28158,0.16561,0.08268,0.033289999999999986,0.057984999999999995
13,H,0.2001,0.24827,0.15378,0.04816999999999999,0.04632,0.047244999999999995
