No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,0.40508,0.38065,0.28536,-0.024430000000000007,0.11972,0.04764499999999999
2,O,-0.4556,-0.37224,-0.62038,0.08335999999999999,0.16478000000000004,0.12407000000000001
3,C,0.05914,0.07064,-0.03216,0.011499999999999996,0.09129999999999999,0.0514
4,C,-0.0587,0.17227,-0.04304,0.23097,-0.01566,0.107655
5,N,0.43496,0.3755,0.40778,-0.05946000000000001,0.027180000000000037,-0.016139999999999988
6,O,-0.1729,-0.11296,-0.21261,0.05993999999999999,0.039709999999999995,0.049824999999999994
7,N,-0.03394,0.16201,-0.16073,0.19594999999999999,0.12679,0.16137
8,O,-0.38008,-0.04036,-0.48738,0.33971999999999997,0.1073,0.22351
9,C,0.405,0.36265,0.26756,-0.042350000000000054,0.13744,0.047544999999999976
10,O,-0.50476,-0.3626,-0.62519,0.14216,0.12043000000000004,0.13129500000000002
11,H,0.15166,0.17849,0.11674,0.02683000000000002,0.03491999999999999,0.030875000000000007
12,H,0.15013,0.18597,0.10406,0.03583999999999998,0.046070000000000014,0.040955
