No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,N,-1.18889,-0.97305,-1.2022,0.21584000000000003,0.013309999999999933,0.11457499999999998
2,P,2.24867,2.20819,2.1578,-0.04048000000000007,0.09087000000000023,0.02519500000000008
3,O,-1.05081,-0.70186,-1.13475,0.34895,0.0839399999999999,0.21644499999999994
4,O,-0.9773,-0.93013,-1.0158,0.047169999999999934,0.03850000000000009,0.04283500000000001
5,C,-0.45364,-0.41541,-0.63774,0.038229999999999986,0.18409999999999999,0.11116499999999999
6,C,-0.1228,0.13535,-0.45753,0.25815,0.33472999999999997,0.29644
7,H,0.40031,0.43884,0.37835,0.03853000000000001,0.02195999999999998,0.030244999999999994
8,H,0.40858,0.43859,0.37186,0.03000999999999998,0.036719999999999975,0.03336499999999998
9,H,0.505,0.53185,0.3512,0.02685000000000004,0.1538,0.09032500000000002
10,H,0.23089,0.26763,0.18881,0.03673999999999997,0.042080000000000006,0.03940999999999999
