No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,0.69151,0.61391,0.61164,-0.0776,0.07987,0.0011349999999999971
2,O,-0.54315,-0.33214,-0.71412,0.21101000000000003,0.17096999999999996,0.19099
3,N,-0.70397,-0.23674,-0.70872,0.46723,0.004750000000000032,0.23599
4,C,0.69152,0.61391,0.61163,-0.07761000000000007,0.07989000000000002,0.0011399999999999744
5,O,-0.54315,-0.33214,-0.71412,0.21101000000000003,0.17096999999999996,0.19099
6,C,-0.24201,-0.1757,-0.41571,0.06631000000000001,0.17370000000000002,0.12000500000000001
7,C,-0.24199,-0.17569,-0.41571,0.0663,0.17372,0.12001
8,H,0.42858,0.46848,0.38182,0.03989999999999999,0.046760000000000024,0.04333000000000001
9,H,0.23133,0.27805,0.18164,0.04672000000000001,0.04969000000000001,0.04820500000000001
10,H,0.23133,0.27805,0.18164,0.04672000000000001,0.04969000000000001,0.04820500000000001
