No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.25961,-0.25086,-0.33902,0.00874999999999998,0.07940999999999998,0.04407999999999998
2,C,-0.16896,-0.08845,-0.25988,0.08051,0.09092,0.085715
3,C,-0.16896,-0.08845,-0.25988,0.08051,0.09092,0.085715
4,C,-0.25961,-0.25085,-0.33902,0.00875999999999999,0.07940999999999998,0.044084999999999985
5,C,0.45788,0.49914,0.3864,0.04125999999999996,0.07147999999999999,0.056369999999999976
6,O,-0.46869,-0.20238,-0.64027,0.26631,0.17158,0.218945
7,C,0.45788,0.49914,0.3864,0.04125999999999996,0.07147999999999999,0.056369999999999976
8,O,-0.46869,-0.20237,-0.64027,0.26632,0.17158,0.21895
9,H,0.22493,0.28231,0.18129,0.057380000000000014,0.043639999999999984,0.05051
10,H,0.21445,0.26022,0.17148,0.045770000000000005,0.04297000000000001,0.04437000000000001
11,H,0.21445,0.26022,0.17148,0.045770000000000005,0.04297000000000001,0.04437000000000001
12,H,0.22493,0.28231,0.18129,0.057380000000000014,0.043639999999999984,0.05051
