No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,N,0.55609,0.54465,0.36488,-0.011440000000000006,0.19121,0.08988499999999999
2,O,-0.33627,-0.21482,-0.62741,0.12145,0.29114,0.206295
3,O,-0.44137,-0.38431,-0.7131,0.05706,0.27172999999999997,0.16439499999999999
4,C,-0.36495,-0.33064,-0.36744,0.03431000000000001,0.0024899999999999922,0.0184
5,C,0.82592,0.82765,0.84319,0.0017300000000000093,-0.017270000000000008,-0.007769999999999999
6,O,-0.55496,-0.0209,-0.64415,0.53406,0.08918999999999999,0.311625
7,O,-0.68276,-0.55331,-0.73375,0.12945000000000007,0.05098999999999998,0.09022000000000002
8,H,0.24954,0.28614,0.20648,0.036599999999999994,0.043060000000000015,0.039830000000000004
9,H,0.24829,0.30323,0.16351,0.05493999999999999,0.08478000000000002,0.06986
10,H,0.50046,0.5423,0.50778,0.04183999999999999,-0.007319999999999993,0.017259999999999998
