No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.14831,0.09475,-0.48282,0.24306,0.33451000000000003,0.288785
2,C,-0.12009,-0.17758,-0.09952,-0.057489999999999986,-0.020570000000000005,-0.039029999999999995
3,C,0.52834,0.56377,0.23996,0.03542999999999996,0.28838,0.161905
4,O,-0.50718,-0.00705,-0.72439,0.50013,0.21721000000000001,0.35867
5,C,-0.46656,-0.41821,-0.43587,0.04834999999999995,-0.030689999999999995,0.008829999999999977
6,C,-0.5813,-0.59625,-0.57484,-0.014949999999999908,-0.006460000000000021,-0.010704999999999965
7,H,0.23168,0.27204,0.19003,0.04036000000000001,0.04164999999999999,0.041005
8,H,0.2228,0.2842,0.17117,0.06140000000000001,0.05163000000000001,0.05651500000000001
9,H,0.2228,0.2842,0.17118,0.06140000000000001,0.05162,0.056510000000000005
10,H,0.20764,0.22395,0.1909,0.01631000000000002,0.016740000000000005,0.016525000000000012
11,H,0.20255,0.2522,0.16332,0.04964999999999997,0.039230000000000015,0.04443999999999999
12,H,0.20763,0.22396,0.19088,0.016329999999999983,0.016750000000000015,0.01654
