No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,0.50142,0.51601,0.41179,0.014589999999999992,0.08962999999999999,0.05210999999999999
2,O,-0.49955,-0.24401,-0.67822,0.25554,0.17867000000000005,0.21710500000000002
3,C,-0.22707,-0.17522,-0.29931,0.05185000000000001,0.07224000000000003,0.06204500000000002
4,C,-0.22713,-0.1753,-0.29936,0.05182999999999999,0.07223000000000002,0.06203
5,C,0.50142,0.51601,0.41179,0.014589999999999992,0.08962999999999999,0.05210999999999999
6,O,-0.49955,-0.24401,-0.67822,0.25554,0.17867000000000005,0.21710500000000002
7,C,-0.22707,-0.17522,-0.29931,0.05185000000000001,0.07224000000000003,0.06204500000000002
8,C,-0.22713,-0.1753,-0.29936,0.05182999999999999,0.07223000000000002,0.06203
9,H,0.22616,0.28925,0.18254,0.06309000000000001,0.04361999999999999,0.053355
10,H,0.22617,0.28927,0.18255,0.06310000000000002,0.04362000000000002,0.05336000000000002
11,H,0.22616,0.28925,0.18254,0.06309000000000001,0.04361999999999999,0.053355
12,H,0.22617,0.28927,0.18255,0.06310000000000002,0.04362000000000002,0.05336000000000002
