SMILES & nbo_fk+ & nbo_fk- & nbo_fk0
C1(=C)NC(=O)C=C1 & 0.06 & 0.0 & 0.03 \\
C=O & 0.04 & 0.55 & 0.29 \\
C#C & 0.44 & 0.1 & 0.27 \\
C=C=CC(=O)N & 0.11 & 0.05 & 0.08 \\
C=CC=O & 0.19 & 0.31 & 0.25 \\
C=CC(=O)N & 0.17 & 0.34 & 0.25 \\
C=C(C(=O)N)CN & 0.1 & 0.32 & 0.21 \\
C=CC(=O)O & 0.12 & 0.07 & 0.09 \\
C=C(C(=O)N)F & 0.31 & 0.33 & 0.32 \\
C=CC=O & 0.19 & 0.31 & 0.25 \\
C=CC#N & 0.34 & 0.36 & 0.35 \\
C=CS(=O)(=O)N & 0.23 & 0.37 & 0.3 \\
C=CS(=O)=O & 0.11 & 0.29 & 0.2 \\
c1cccc2c1oc(=O)cc2 & -0.0 & 0.16 & 0.08 \\
NC#N & 0.05 & -0.0 & 0.02 \\
C1=CC1 & 0.32 & 0.38 & 0.35 \\
C1=CC1=O & 0.18 & 0.37 & 0.28 \\
C(=O)c1c([n+](on1)[O-])C=O & 0.23 & -0.02 & 0.11 \\
NP(=O)(O)C#C & 0.04 & 0.18 & 0.11 \\
NN=C & 0.36 & 0.45 & 0.4 \\
N=C=S & -0.05 & 0.23 & 0.09 \\
C1(=O)NC(=O)C=C1 & 0.07 & 0.17 & 0.12 \\
C#N & 0.46 & 0.57 & 0.52 \\
C=CN(=O)=O & 0.15 & 0.29 & 0.22 \\
[N+](=O)([O-])CC(=O)O & 0.06 & 0.27 & 0.16 \\
C#CC(=O)CC & -0.06 & -0.02 & -0.04 \\
C#CC#N & 0.02 & 0.12 & 0.07 \\
C1(=O)C=CC(=O)C=C1 & 0.05 & 0.07 & 0.06 \\
C1=CC=CC(=O)C1=O & 0.08 & 0.09 & 0.09 \\
C1C2(C1C2)C & -0.04 & 0.07 & 0.01 \\
CN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1 & -0.0 & 0.09 & 0.04 \\
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1 & -0.01 & -0.01 & -0.01 \\
N#Cc1cc(C(=O)N2CC3C4CCN3CC2C4c2ccc(CC(=O)NCC(=O)Nc3cc(F)ccc3F)cc2)ccc1F & 0.03 & 0.0 & 0.02 \\
C#CC1CCCN1C(=O)CC(=O)NC(Cc1cc(Br)c2occc2c1)C(=O)NCCc1ccc(OC)cc1 & 0.19 & 0.01 & 0.1 \\
CC(C)C1NC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)NC=CN(C)CC(CCCC#CCCl)=NC1=O & 0.58 & 0.04 & 0.31 \\
COC(=O)NC(Cc1ccccc1)C(Cc1ccc(Cl)cc1)NC(CC(C)C)C(=O)N1CCCC1C#N & 0.03 & 0.03 & 0.03 \\
CCC1CCN(C(=O)C(CCCC2CCNCC2)NC(=O)c2cc(-c3cccc(F)c3)ccc2C#N)C1=O & 0.03 & -0.0 & 0.01 \\
N#CC1(NC(=O)C2CCCN2Cc2ccc(-c3c[nH]c(=NC(=O)CC4CC4c4ccccc4)s3)cc2)CC1 & 0.1 & 0.12 & 0.11 \\
N#Cc1cccc(-c2c(-c3cc(F)cc(C#CCO)c3)cc(F)c(C3(C(F)F)N=C(N)OC4CC43)c2F)c1 & 0.1 & 0.04 & 0.07 \\
 \\
