"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL568312";"";"0";"286.31";"0";"2.24";"24";"[O-][n+]1onc2ccc(/C=C/[S+]([O-])c3ccccc3)cc21";"Inhibition";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1038180";"Inhibition of Trypanosoma cruzi cruzipain at 100 uM";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1156117";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2009";"None";""
"CHEMBL3347276";"";"0";"425.51";"0";"0.98";"35";"C=CCNC(=S)N/N=C\c1ccccc1OCc1ccc2c(c1)=[N+]([O-])C(C)(C)[N+]=2[O-]";"Inhibition";"'='";"6.6";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL3391021";"Inhibition of Trypanosoma cruzi Cruzipain using Z-Phe-Arg-AMC as substrate at 100 uM at pH 7.3 measured for 10 mins by spectrofluorimetric analysis relative to control";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL3390845";"1";"Scientific Literature";"MedChemComm";"2010";"None";""
"CHEMBL3347366";"";"0";"368.40";"0";"-0.19";"33";"CC1(C)[N+]([O-])=c2ccc(COc3ccccc3/C=N\NC(=N)N)cc2=[N+]1[O-]";"Inhibition";"'='";"2.5";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL3391021";"Inhibition of Trypanosoma cruzi Cruzipain using Z-Phe-Arg-AMC as substrate at 100 uM at pH 7.3 measured for 10 mins by spectrofluorimetric analysis relative to control";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL3390845";"1";"Scientific Literature";"MedChemComm";"2010";"None";""
"CHEMBL3347331";"";"0";"369.38";"0";"0.00";"30";"CC1(C)[N+]([O-])=c2ccc(COc3ccc(/C=N/NC(N)=O)cc3)cc2=[N+]1[O-]";"Inhibition";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL3391021";"Inhibition of Trypanosoma cruzi Cruzipain using Z-Phe-Arg-AMC as substrate at 100 uM at pH 7.3 measured for 10 mins by spectrofluorimetric analysis relative to control";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL3390845";"1";"Scientific Literature";"MedChemComm";"2010";"None";""
"CHEMBL3347321";"";"0";"461.55";"0";"2.31";"29";"CC1(C)[N+]([O-])=c2ccc(COc3ccc(/C=N/NC(=S)Nc4ccccc4)cc3)cc2=[N+]1[O-]";"Inhibition";"'='";"72.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL3391021";"Inhibition of Trypanosoma cruzi Cruzipain using Z-Phe-Arg-AMC as substrate at 100 uM at pH 7.3 measured for 10 mins by spectrofluorimetric analysis relative to control";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL3390845";"1";"Scientific Literature";"MedChemComm";"2010";"None";""
"CHEMBL570547";"";"0";"338.19";"0";"4.10";"5";"Cc1cccc(C(=O)OCC(=O)Nc2cc(Cl)ccc2Cl)c1";"Inhibition";"'='";"5.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1061355";"Inhibition of Trypanosoma cruzi cruzain at 200 uM preincubated for 5 mins before substrate addition";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1151964";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL550694";"";"0";"291.35";"0";"1.66";"2";"Nc1ncccc1C(=O)OCC(=O)NC1CCCCCC1";"Inhibition";"'='";"68.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1061355";"Inhibition of Trypanosoma cruzi cruzain at 200 uM preincubated for 5 mins before substrate addition";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1151964";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL562106";"";"0";"392.25";"0";"2.85";"3";"CCC(NC(=O)COC(=O)c1cccnc1N)c1ccc(Br)cc1";"Inhibition";"'='";"65.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1061355";"Inhibition of Trypanosoma cruzi cruzain at 200 uM preincubated for 5 mins before substrate addition";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1151964";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL455668";"";"0";"280.25";"0";"3.25";"5e";"Cc1ccc(/C=N/Nc2nccc(C(F)(F)F)n2)cc1";"Inhibition";"'='";"40.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1010074";"Inhibition of Trypanosoma cruzi C-terminal truncated cruzain expressed in DH5alpha Escherichia coli at 100 uM by well-microplate spectrophotometry";"B";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1152197";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"None";""
"CHEMBL462539";"";"0";"314.70";"0";"3.90";"7f";"Cc1cc(C(F)(F)F)nc(N/N=C/c2ccc(Cl)cc2)n1";"Inhibition";"'='";"60.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1010074";"Inhibition of Trypanosoma cruzi C-terminal truncated cruzain expressed in DH5alpha Escherichia coli at 100 uM by well-microplate spectrophotometry";"B";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1152197";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"None";""
