,molregno,chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations
0,1219,CHEMBL6966,454.61,5.09,6.0,0.0,63.95,13.0,N,1.0,,9.68,5.04,2.79,BASE,454.61,2.0,33.0,0.42,454.2832,C27H38N2O4,6.0,0.0,1.0
1,14790,CHEMBL14498,303.84,4.18,3.0,1.0,28.16,5.0,N,0.0,,9.55,3.14,0.81,BASE,303.84,2.0,21.0,0.84,303.1502,C17H22ClN3,3.0,1.0,0.0
2,15890,CHEMBL110,260.25,1.11,5.0,1.0,90.06,5.0,N,0.0,13.68,0.2,1.32,1.32,NEUTRAL,260.25,2.0,19.0,0.64,260.0909,C12H12N4O3,7.0,1.0,0.0
3,17169,CHEMBL114,670.86,3.09,7.0,5.0,166.75,12.0,N,1.0,13.61,8.47,3.16,2.05,NEUTRAL,670.86,3.0,49.0,0.2,670.3843,C38H50N6O5,11.0,6.0,3.0
4,18589,CHEMBL274993,274.36,4.91,1.0,0.0,17.07,2.0,N,0.0,,,5.6,5.6,NEUTRAL,274.36,2.0,21.0,0.71,274.1358,C20H18O,1.0,0.0,0.0
5,27688,CHEMBL282672,162.15,1.04,4.0,2.0,66.24,0.0,N,0.0,11.21,,1.88,1.88,NEUTRAL,162.15,2.0,12.0,0.61,162.0429,C8H6N2O2,4.0,2.0,0.0
6,30864,CHEMBL25988,180.24,0.66,3.0,2.0,63.63,2.0,N,0.0,6.67,3.64,1.23,0.57,NEUTRAL,180.24,1.0,12.0,0.3,180.047,C7H8N4S,4.0,2.0,0.0
7,43896,CHEMBL31000,222.68,2.29,3.0,2.0,45.15,3.0,Y,0.0,,7.29,1.52,1.28,NEUTRAL,222.68,2.0,15.0,0.84,222.056,C11H11ClN2O,3.0,2.0,0.0
8,44987,CHEMBL416771,194.26,0.64,3.0,2.0,63.3,2.0,N,0.0,11.64,2.88,0.68,0.68,NEUTRAL,194.26,1.0,13.0,0.41,194.0626,C8H10N4S,4.0,3.0,0.0
9,99105,CHEMBL418661,314.38,0.53,4.0,3.0,108.03,9.0,N,0.0,3.67,,1.08,-2.24,ACID,314.38,0.0,22.0,0.54,314.1842,C15H26N2O5,7.0,3.0,0.0
10,114631,CHEMBL74689,193.28,1.66,2.0,2.0,50.74,2.0,Y,0.0,6.94,3.64,1.61,1.11,NEUTRAL,193.28,1.0,13.0,0.32,193.0674,C9H11N3S,3.0,2.0,0.0
11,147149,CHEMBL313679,286.2,2.81,2.0,2.0,50.74,3.0,Y,0.0,6.6,3.63,3.08,2.39,NEUTRAL,286.2,1.0,15.0,0.38,284.9935,C10H12BrN3S,3.0,2.0,0.0
12,147999,CHEMBL90512,262.17,2.96,2.0,2.0,50.74,2.0,Y,0.0,6.31,3.63,2.82,1.98,ACID,262.17,1.0,15.0,0.37,260.9894,C9H9Cl2N3S,3.0,2.0,0.0
13,151502,CHEMBL91704,574.75,3.66,5.0,2.0,98.82,11.0,N,1.0,13.99,7.02,3.96,3.81,NEUTRAL,574.75,3.0,41.0,0.36,574.2614,C32H38N4O4S,8.0,2.0,1.0
14,161080,CHEMBL99254,221.69,2.26,3.0,2.0,50.94,3.0,Y,0.0,,9.62,1.41,-0.98,BASE,221.69,2.0,15.0,0.84,221.072,C11H12ClN3,3.0,3.0,0.0
15,231902,CHEMBL344174,337.38,2.16,4.0,2.0,91.22,7.0,N,0.0,11.95,,2.19,2.19,NEUTRAL,337.38,2.0,25.0,0.76,337.1426,C19H19N3O3,6.0,2.0,0.0
16,243798,CHEMBL146616,289.81,3.79,3.0,1.0,28.16,4.0,N,0.0,,9.05,3.08,1.3,BASE,289.81,2.0,20.0,0.93,289.1346,C16H20ClN3,3.0,1.0,0.0
17,243801,CHEMBL148139,291.78,2.63,4.0,1.0,37.39,4.0,N,0.0,,7.43,2.01,1.67,NEUTRAL,291.78,2.0,20.0,0.94,291.1138,C15H18ClN3O,4.0,1.0,0.0
18,255347,CHEMBL1292,473.41,7.49,4.0,1.0,42.21,4.0,N,1.0,,6.63,7.3,7.24,NEUTRAL,473.41,3.0,33.0,0.27,472.1222,C27H22Cl2N4,4.0,1.0,1.0
19,372418,CHEMBL374508,357.41,-1.46,5.0,5.0,172.43,11.0,N,0.0,3.67,11.27,-2.79,-2.79,ZWITTERION,357.41,0.0,25.0,0.13,357.2012,C15H27N5O5,10.0,7.0,1.0
20,381566,CHEMBL227002,238.25,2.63,3.0,0.0,52.97,2.0,Y,0.0,,,2.96,2.96,NEUTRAL,238.25,3.0,18.0,0.51,238.0742,C14H10N2O2,4.0,0.0,0.0
21,381572,CHEMBL226536,238.25,2.63,3.0,0.0,52.97,2.0,Y,0.0,,,2.96,2.96,NEUTRAL,238.25,3.0,18.0,0.51,238.0742,C14H10N2O2,4.0,0.0,0.0
22,391517,CHEMBL242106,221.33,1.98,2.0,2.0,50.41,3.0,Y,0.0,11.71,3.05,2.91,2.91,NEUTRAL,221.33,1.0,15.0,0.47,221.0987,C11H15N3S,3.0,3.0,0.0
23,398688,CHEMBL235241,235.72,2.65,3.0,2.0,50.94,4.0,N,0.0,,9.82,1.47,-1.1,BASE,235.72,2.0,16.0,0.8,235.0876,C12H14ClN3,3.0,3.0,0.0
24,405055,CHEMBL241622,270.31,3.22,4.0,0.0,52.97,3.0,N,0.0,,,3.01,3.01,NEUTRAL,270.31,3.0,19.0,0.54,270.0463,C14H10N2O2S,4.0,0.0,0.0
25,405057,CHEMBL241624,286.31,2.24,4.0,0.0,70.04,3.0,N,0.0,,,1.51,1.51,NEUTRAL,286.31,3.0,20.0,0.69,286.0412,C14H10N2O3S,5.0,0.0,0.0
26,405058,CHEMBL238428,286.31,2.24,4.0,0.0,70.04,3.0,N,0.0,,,1.51,1.51,NEUTRAL,286.31,3.0,20.0,0.69,286.0412,C14H10N2O3S,5.0,0.0,0.0
